"2014-03-09 13:11:37,IAX2/20004-3781,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,12";
"2014-03-09 13:12:31,IAX2/20003-6770,20003,""""""Kolmas"""" <20003>"",STARTMEETME,,ANSWERED,60";
"2014-03-09 13:12:30,SIP/20002-0000001b,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,62";
"2014-03-09 13:11:58,IAX2/20004-8286,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,111";
"2014-03-09 13:16:15,IAX2/20004-3815,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,21";
"2014-03-09 13:16:26,SIP/20002-0000001c,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,12";
"2014-03-09 13:17:16,IAX2/20003-1331,20003,""""""Kolmas"""" <20003>"",STARTMEETME,,ANSWERED,32";
"2014-03-09 13:16:44,SIP/20002-0000001d,20002,""""""Teine"""" <20002>"",STARTMEETME,,ANSWERED,71";
"2014-03-09 13:16:41,IAX2/20004-292,20004,""""""Neljas"""" <20004>"",STARTMEETME,,ANSWERED,89";
"2014-03-09 13:23:21,SIP/20001-0000001e,20001,""""""Esimene"""" <20001>"",20010,IAX2/20004-123,NO ANSWER,16";
"2014-03-09 13:24:25,SIP/20001-00000021,20001,""""""Esimene"""" <20001>"",20010,IAX2/20003-1534,NO ANSWER,15";
"2014-03-09 13:25:10,SIP/20001-00000024,20001,""""""Esimene"""" <20001>"",20010,SIP/20002-00000028,NO ANSWER,33";
"2014-03-09 13:25:47,SIP/20001-00000029,20001,""""""Grupp3Esimene"""" <20001>"",20010,IAX2/20003-9225,ANSWERED,33";
"2014-03-09 13:37:20,SIP/20002-0000002c,20002,""""""Teine"""" <20002>"",*77,,ANSWERED,22";
"2014-03-09 13:38:09,SIP/20002-0000002d,20002,""""""Teine"""" <20002>"",*99,,ANSWERED,23";
"2014-03-09 13:47:11,SIP/20001-0000002e,20001,""""""Esimene"""" <20001>"",20002,SIP/20002-0000002f,NO ANSWER,11";
"2014-03-09 14:08:47,SIP/42-user-00000030,42-user,""""""Jaam2Esimene"""" <42-user>"",20003,IAX2/20003-1753,ANSWERED,34";
